condition,container,discription,follow,lastest_chap,link,teaser,title,type,view
Đang tiến hành ,https://nettruyenco.vn/?page=1,"Đây là câu chuyện về gã chủ nhân mua nô lệ, chăm sóc giáo dục các bé lên người để hiện thực hoá giấc mơ dàn harem lý tưởng",3354.0, Chapter 37 ,https://nettruyenco.vn/truyen-tranh/training-slaves-to-make-a-harem-12349,https://nettruyenco.vn/public/images/comics/training-slaves-to-make-a-harem.jpg, Training Slaves To Make A Harem ,"Adult,Comedy,Ecchi,Fantasy,Manga,Slice of Life ",10000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,1914.0, Chapter 25 ,https://nettruyenco.vn/truyen-tranh/bao-cao-nhiep-chinh-vuong-dai-lao-nang-ay-chuyen-tri-benh-liet-duong-14745,https://nettruyenco.vn/public/images/comics/bao-cao-nhiep-chinh-vuong-dai-lao-nang-ay-chuyen-tri-benh-liet-duong.jpg," Báo Cáo Nhiếp Chính Vương, Đại Lão Nàng Ấy Chuyên Trị Bệnh Liệt Dương. ","Manhua,Ngôn Tình,Truyện Màu ",4000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,794.0, Chapter 25 ,https://nettruyenco.vn/truyen-tranh/dung-yen-em-gai-chung-toi-noi-tren-dau-ban-co-quy-14707,https://nettruyenco.vn/public/images/comics/dung-yen-em-gai-chung-toi-noi-tren-dau-ban-co-quy.jpg, Đứng Yên! Em Gái Chúng Tôi Nói Trên Đầu Bạn Có Quỷ. ,"Horror,Manhua,Ngôn Tình,Truyện Màu ",4000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,1107.0, Chapter 25 ,https://nettruyenco.vn/truyen-tranh/tinh-yeu-chay-bong-14748,https://nettruyenco.vn/public/images/comics/tinh-yeu-chay-bong.jpg, Tình Yêu Cháy Bỏng ,"Chuyển Sinh,Manhua,Ngôn Tình,Truyện Màu ",10000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,211.0, Chapter 114 ,https://nettruyenco.vn/truyen-tranh/dandadan-3000002808,https://nettruyenco.vn/public/images/comics/dandadan.jpg, Dandadan!! ,"Action,Comedy,Horror,Manga,Mystery,Romance,Shounen,Supernatural ",3000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,"Câu chuyện bắt đầu khi nhân vật chính, Wakou Ichiro về nhà sớm để kỷ niệm 2 năm ngày cưới với vợ mình. Nhưng bất ngờ khi mở cửa ra thì... Anh phát hiện vợ mình đang làm tình với người đàn ông khác. Cuộc hôn nhân dù ngắn nhưng cũng làm cuộc sống của anh thay đổi một lần nữa. Bất ngờ một cô gái xuất hiện trước mặt anh, câu truyện vừa hài vừa lứng sẽ bắt đầu?",1052.0, Chapter 49: Ichi-San Của Mọi Khi. ,https://nettruyenco.vn/truyen-tranh/batsu-hare-14010,https://nettruyenco.vn/public/images/comics/batsu-hare.jpg, Batsu Hare ,"Comedy,Drama,Ecchi,Harem,Manga,Romance,Slice of Life ",3000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,580.0, Chapter 374 ,https://nettruyenco.vn/truyen-tranh/cuu-vi-ho-ly-mau-3000028274,https://nettruyenco.vn/public/images/comics/cuu-vi-ho-ly-mau.jpg, Cửu Vĩ Hồ Ly Màu ,"Action,Comedy,Drama,Fantasy,Manga,Shounen,Truyện Màu ",2000.0
Đang Tiến Hành ,https://nettruyenco.vn/?page=1,,16.0, Chap 1 ,https://nettruyenco.vn/truyen-tranh/ngay-dai-gap-nguoi-khuyet-tam-nhan-14892,https://nettruyenco.vn/public/images/comics/ngay-dai-gap-nguoi-khuyet-tam-nhan.jpg, Ngày Dài Gặp Người Khuyết Tâm Nhãn ,"Boys Love, Đam Mỹ ",194.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,,1192.0, Chapter 24 ,https://nettruyenco.vn/truyen-tranh/thien-khai-bai-gia-14857,https://nettruyenco.vn/public/images/comics/thien-khai-bai-gia.jpg, Thiên Khải Bại Gia ,"Cổ Đại,Comedy,Fantasy,Manhua ",3000.0
Đang tiến hành ,https://nettruyenco.vn/?page=1,"Nàng Dâu Mang Tên Kinu Đến Sống Cùng Gia Đình Nhà Chồng Fujidana. Thoạt Đầu Nhìn Chồng Là Một Người Nhút Nhát, Lười Biếng, Nhưng Cô Đã Bắt Đầu Tìm Hiểu Và Biết Rằng ""Chồng Mình Có Trái Tim Rộng Lượng Hơn Mình Nghĩ"".",97.0, Chapter 28 ,https://nettruyenco.vn/truyen-tranh/cau-chuyen-ve-doi-vo-chong-no-3000027761,https://nettruyenco.vn/public/images/comics/cau-chuyen-ve-doi-vo-chong-no.jpg, Câu Chuyện Về Đôi Vợ Chồng Nọ ,"Comedy,Manga,Romance,Slice of Life ",8000.0
