condition,container,discription,follow,lastest_chap,link,tag,teaser,title,view
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Thân phụ dị năng, triệu tiểu trời nhận hết gặp trắc trở. một trận bạo tạc qua đi, hắn đuổi kịp thế giới khác xuyên qua trào lưu, đáng tiếc hắc ám thế lực ma trảo vẫn không có bỏ qua hắn, ám sát bắt cóc giết con tin, triệu tiểu thiên nhẫn không thể nhẫn bị đưa vào tu tiên danh môn —— tiêu dao môn, từ...",8911.0,203.0,https://truyenqqq.vn/truyen-tranh/nhan-vat-chinh-manh-nhat-lich-su-11300,"Action, Manhua, Mystery, Xuyên Không, Chuyển Sinh, Truyện Màu",https://i.truyenvua.com/ebook/190x247/nhan-vat-chinh-manh-nhat-lich-su_1623807633.jpg?gt=hdfgdfg&mobile=2,Nhân Vật Chính Mạnh Nhất Lịch Sử,2772830.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Haimura Kiri là một cậu bé có vẻ bình thường trừ một vấn đề nhỏ: Cậu bị ám ảnh bởi việc cắt tóc người khác. Một ngày nọ, cậu gặp Mushiyanokouji Iwai, “Nữ ho àng tóc”, người không thể cắt tóc vì một lời nguyền thừa kế. Kiri phát hiện ra rằng kéo của mình, “Crime Edge” là thứ duy nhất có thể cắt chúng...",86.0,15.0,https://truyenqqq.vn/truyen-tranh/dansai-bunri-no-crime-edge-5449,"Action, Sci-Fi",https://i.truyenvua.com/ebook/190x247/dansai-bunri-no-crime-edge_1534657664.jpg?gt=hdfgdfg&mobile=2,Dansai Bunri No Crime Edge,33169.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,Mình nhận làm truyện thuê nhật - việt Anh - việt Trung - việt ( có trả phí ) Nên ai có nhu cầu cứ gửi tin nhắn cho mình hoặc nhắn qua discordMột miếng truyện tình củm hề hước của một cô gái ngoại cảm với năng lực có thể nhìn thấy trước tương lai với con mắt thứ 3.Vào một ngày trời xanh mây trắng nắn...,422.0,11.0,https://truyenqqq.vn/truyen-tranh/tinh-yeu-thien-ly-nhan-va-su-non-not-13125,"Comedy, Romance",https://i.truyenvua.com/ebook/190x247/tinh-yeu-thien-ly-nhan-va-su-non-not_1665930106.jpg?gt=hdfgdfg&mobile=2,"Tình Yêu, Thiên Lý Nhãn Và Sự Non Nớt",31818.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"[Mỗi ngày cập nhật 1 chap] Đế Nhan Ca xuyên vào một quyển tiểu thuyết đại nam chủ, chỉ có chết mới có thể trở về thế giới ban đầu. Vì muốn nhanh chóng về nhà, nàng nữ giả nam, nghĩ hết mọi cách đối đầu với nhân vật chính, làm huynh đệ với phản diện. Thậm chỉ vì để kéo cừu hận mà cố ý không nói nhiều...",498.0,25.0,https://truyenqqq.vn/truyen-tranh/sau-khi-khong-ngung-tim-duong-chet-ta-tro-thanh-de-ton-van-nguoi-me-14452,"Manhua, Ngôn Tình, Chuyển Sinh, Truyện Màu",https://i.truyenvua.com/ebook/190x247/sau-khi-khong-ngung-tim-duong-chet-ta-tro-thanh-de-ton-van-nguoi-me_1689573458.jpg?gt=hdfgdfg&mobile=2,"Sau Khi Không Ngừng Tìm Đường Chết, Ta Trở Thành Đế Tôn Vạn Người Mê",29090.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"[Mỗi ngày cập nhật 1 chap] Hào môn Tô Gia mong ngóng 10 năm, cuối cùng cũng có được một cô con gái. Kết quả con gái vừa sinh ra thì đã bị mất tích, cả Tô gia đều phát điên hết cả lên. Tô gia trải qua trăm cay nghìn đắng mới tìm lại được con gái của mình. Chỉ thấy cô nhóc 3 tuổi rưỡi tay trái cầm một...",816.0,25.0,https://truyenqqq.vn/truyen-tranh/sung-be-ca-koi-3-tuoi-ruoi-14392,"Manhua, Ngôn Tình, Truyện Màu",https://i.truyenvua.com/ebook/190x247/sung-be-ca-koi-3-tuoi-ruoi_1688030009.jpg?gt=hdfgdfg&mobile=2,Sủng Bé Cá Koi 3 Tuổi Rưỡi,65495.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"[Mỗi ngày cập nhật 1 chap] Vì để có thể sống lại, Thịnh Ái cần xuyên thành nữ phụ pháo hôi của các thế giới khác nhau, hoàn thành nhiệm vụ ngăn cản phản diện hắc hóa, nhưng mà... Rõ ràng là một BOSS phản diện cố chấp máu lạnh, nhưng tại sao lại ""Ái Ái, ngoại trừ bên cạnh tôi, em không được đi đâu cả...",702.0,25.0,https://truyenqqq.vn/truyen-tranh/xuyen-nhanh-phan-dien-qua-sung-qua-me-nguoi-14391,"Manhua, Ngôn Tình, Xuyên Không, Truyện Màu",https://i.truyenvua.com/ebook/190x247/xuyen-nhanh-phan-dien-qua-sung-qua-me-nguoi_1688029913.jpg?gt=hdfgdfg&mobile=2,Xuyên Nhanh: Phản Diện Quá Sủng Quá Mê Người,53585.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"[Mỗi ngày update 1 chap] ""Thôi vậy, ta lựa chọn mặc kệ đời."" Xuyên sách, Diệp Kiều vì muốn thoát khỏi vận mệnh nữ phụ pháo hôi, nàng suốt đêm xuống núi gia nhập vào tông môn mới, bị thu làm đệ tử thân truyền thì thôi đi, còn tặng kèm thêm bốn sư huynh sủng nàng tới tận trời. Từ đó, Diệp Kiều quyết đ...",950.0,33.0,https://truyenqqq.vn/truyen-tranh/tieu-su-muoi-ro-rang-rat-manh-nhung-lai-qua-tau-he-14386,"Manhua, Ngôn Tình, Truyện Màu",https://i.truyenvua.com/ebook/190x247/tieu-su-muoi-ro-rang-rat-manh-nhung-lai-qua-tau-he_1688029256.jpg?gt=hdfgdfg&mobile=2,"Tiểu Sư Muội Rõ Ràng Rất Mạnh, Nhưng Lại Quá Tấu Hề",83136.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Cháu trai của người buôn đồ cổ và công chúa ăn xin kết hôn với nhau.
Thời hạn hiệu lực là hai năm, và đó là một hợp đồng để thúc đẩy lợi ích hai bên.
Một sĩ quan hải quân đầy triển vọng và một người đàn ông siêu giàu có, cháu trai của một người buôn bán đồ cổ, người bị coi thường vì dòng máu tầm thư...",1189.0,33.2,https://truyenqqq.vn/truyen-tranh/bastian-13692,"Fantasy, Manhwa, Ngôn Tình, Cổ Đại, Truyện Màu",https://i.truyenvua.com/ebook/190x247/bastian_1675477097.jpg?gt=hdfgdfg&mobile=2,Bastian,147184.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Dorothy luôn bị phân biệt đối xử và nhận những cái phớt lờ từ người khác. Cuối cùng, cô quyết định giết chết tất cả anh em của mình và lên ngôi hoàng đế.
Cô không nhận được sự đáp trả của người con trai cô đem lòng thương mến. Sau cùng, cô bị mọi người chỉ trích là bạo chúa và bị xử tử.
Nhưng khi mở...",3783.0,44.2,https://truyenqqq.vn/truyen-tranh/nang-bao-chua-muon-co-mot-cuoc-song-hanh-phuc-hon-13208,"Manhwa, Ngôn Tình, Chuyển Sinh, Truyện Màu",https://i.truyenvua.com/ebook/190x247/nang-bao-chua-muon-co-mot-cuoc-song-hanh-phuc-hon_1667376607.jpg?gt=hdfgdfg&mobile=2,Nàng Bạo Chúa Muốn Có Một Cuộc Sống Hạnh Phúc Hơn!,799746.0
Tình trạng: Đang Cập Nhật,https://truyenqqq.vn/truyen-moi-cap-nhat/trang-1.html,"Beatrice đã sống như một vị thánh trong 10 năm để ngăn chặn thảm họa của đế chế và cố giành được tình yêu của gia đình. Nhưng một ngày nọ, vị trí thánh nữ của cô bị một cô gái tên Lina Cumbell với mái tóc đen… lấy mất. “Ta sẽ giết cô, gia đình cô và tất cả những tín đồ.” Mọi người cho rằng Beatrice ...",429.0,11.0,https://truyenqqq.vn/truyen-tranh/thanh-nu-tro-lai-lam-phan-dien-13981,"Drama, Fantasy, Shoujo, Manhwa, Ngôn Tình, Truyện Màu",https://i.truyenvua.com/ebook/190x247/thanh-nu-tro-lai-lam-phan-dien_1680483800.jpg?gt=hdfgdfg&mobile=2,Thánh Nữ Trở Lại Làm Phản Diện,26231.0
